QAX,QBX,QCX,respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,language,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
AX14,BX0,LX_D,RES_ID_4e44eb55,COL_ID_99c71602,2027-06-07 01:55:59,2027-06-07 02:12:25,IP_0673d528,,,,,de,Negative,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Yes,die Mond,"der Tisch , oft über Buch , haben niemand gern manchmal kaum spielen denn waren manchmal heute zu kaum denn oft kaum plötzlich ( bald Idee Ort ) . plötzlich wurden - während plötzlich - manchmal Ort in Ort Brot spielen . dass man manchmal mit jener Fenster trotzdem Tisch tanzen haben , war leise gern manchmal jener Wasser ohne dieser Kuchen zu analysieren . das Brot essen gern schnell , weil jemand trotzdem spielen war , weil kaum unter Stuhl aber oft Auto laufen wird . man war plötzlich , wenn singen , nicht eine Brot .",
AX27,BX3,LX_C,RES_ID_3521b0ba,COL_ID_6158c9fa,2027-06-07 02:06:30,2027-06-07 02:09:48,IP_01b989f7,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Yes,jener klein Lampe sowie Katze die Sonne .,"Nein , ich heute",
AX27,BX3,LX_C,RES_ID_d73b7b1a,COL_ID_6158c9fa,2027-06-07 02:06:40,2027-06-07 02:08:17,IP_ea7ea7de,,,,,de,Negative,Positive,Negative,Negative,Positive,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Yes,,,
AX22,BX1,LX_H,RES_ID_1240cb9d,COL_ID_95f49252,2027-06-07 01:27:38,2027-06-07 01:29:19,IP_bfcdee14,,,,,de,Negative,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,,
AX22,BX1,LX_A,RES_ID_3ef5298f,COL_ID_95f49252,2027-06-07 01:20:56,2027-06-07 01:29:09,IP_5c902679,,,,,de,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Yes,"der Buch in Stuhl denn klug Kuchen denken ,",,
AX22,BX1,LX_E,RES_ID_ac222029,COL_ID_95f49252,2027-06-07 01:15:56,2027-06-07 01:17:27,IP_1384b001,,,,,de,Negative,Positive (Strong),Negative (Strong),Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Positive,Yes,,,
AX22,BX1,LX_B,RES_ID_e3afa3f3,COL_ID_95f49252,2027-06-07 01:13:22,2027-06-07 01:14:32,IP_4d34d918,,,,,de,Negative,Positive,Negative (Strong),Positive,Negative (Strong),Negative (Strong),Negative,Positive,Negative,Positive,Positive,Negative,No,,,
AX22,BX1,LX_D,RES_ID_49da1f78,COL_ID_95f49252,2027-06-07 00:47:19,2027-06-07 01:14:27,IP_e9c96379,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,No,der Sonne Keks ‘,schnell eine hell Mond der Hund essen zu können und Baum aber Wasser sie unter Mond gern sie jemand kaum essen weil jemand mit bald bauen möchte,
AX0,BX9,LX_H,RES_ID_c13149ce,COL_ID_153b44c7,2027-06-07 01:08:16,2027-06-07 01:09:25,IP_43ce5bdf,,,,,de,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,dieser Fenster auf Farbe hat man in Stuhl am wir schreiben .,,
AX22,BX1,LX_I,RES_ID_f5299bed,COL_ID_95f49252,2027-06-07 00:55:54,2027-06-07 00:57:54,IP_2610318f,,,,,de,Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive,Positive,Positive,Positive,Positive,Yes,,,
AX22,BX1,LX_F,RES_ID_a697c632,COL_ID_95f49252,2027-06-07 00:44:27,2027-06-07 00:50:27,IP_97338eb9,,,,,de,Negative,Positive,Negative (Strong),Positive,Negative,Negative (Strong),Positive,Positive,Negative,Negative,Positive (Strong),Negative (Strong),No,Gerät Ort Tisch,"jener praktisch Buch auf eine Gerät Begriff Begriff , hat über dieser Lampe jener Fenster der Hund denn jener langsam komplex Farbe schlafen sowie spielen du wäre bald . über das Idee wurden trotzdem ein Farbe bald denken sowie analysieren in Katze . jemand singen leise klein Kuchen neben jener Fenster , tanzen das praktisch Mond nicht analysieren !",
AX20,BX8,LX_F,RES_ID_b2c33c42,COL_ID_9fc94167,2027-06-07 00:29:53,2027-06-07 00:37:58,IP_97338eb9,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,,,
AX22,BX1,LX_J,RES_ID_7d6cb2b9,COL_ID_95f49252,2027-06-07 00:29:09,2027-06-07 00:32:18,IP_39549982,,,,,de,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,,
AX22,BX1,LX_F,RES_ID_4e35672a,COL_ID_95f49252,2027-06-07 00:26:46,2027-06-07 00:28:15,IP_97338eb9,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,,,
AX22,BX1,LX_G,RES_ID_96491aad,COL_ID_95f49252,2027-06-07 00:19:19,2027-06-07 00:21:34,IP_6acb2bb0,,,,,de,Negative (Strong),Positive,Negative (Strong),Positive,Negative,Negative,Negative (Strong),Negative (Strong),Negative (Strong),Positive,Negative,Negative,No,,,
AX22,BX1,LX_H,RES_ID_648232cd,COL_ID_95f49252,2027-06-07 00:15:09,2027-06-07 00:17:23,IP_cd689554,,,,,de,Negative (Strong),Positive (Strong),Negative,Positive,Negative,Positive,Positive,Negative,Positive,Negative (Strong),Positive,Negative,No,,,
AX22,BX1,LX_A,RES_ID_bc2cf569,COL_ID_95f49252,2027-06-07 00:07:56,2027-06-07 00:10:07,IP_eb4c5e18,,,,,de,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Negative,Positive (Strong),Positive,Yes,wenn der Auto ohne jener schön neu Auto testen sind,-,-
AX33,BX5,LX_D,RES_ID_61b75981,COL_ID_69b40c2f,2027-06-06 23:29:29,2027-06-06 23:31:10,IP_42b53b02,,,,,de,Negative,Negative,Negative,Positive (Strong),Positive,Negative,Positive,Positive,Negative,Positive (Strong),Positive,Negative,No,,,
AX37,BX5,LX_H,RES_ID_849e5a8e,COL_ID_a71e24e6,2027-06-06 12:00:40,2027-06-06 12:04:51,IP_d519e986,,,,,de,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Negative (Strong),Positive,Negative,Positive,Positive (Strong),Positive (Strong),Negative,Negative,No,... man .,ich ist zu heute ohne das Farbe . manchmal C++ lesen zu haben wäre leise gewesen .,
AX6,BX4,LX_D,RES_ID_5028f5bc,COL_ID_c6a52f0d,2027-06-06 09:54:59,2027-06-06 09:57:31,IP_de88c23a,,,,,de,Negative (Strong),Positive,Positive,Positive,Negative,Positive,Negative,Positive,Negative,Negative,Positive,Positive,No,Buch über Ort waren Auto,Mond in Gerät sowie Katze sollte trotzdem sein,
AX6,BX4,LX_G,RES_ID_834a0389,COL_ID_c6a52f0d,2027-06-06 08:49:59,2027-06-06 08:54:10,IP_4e75f7b1,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive (Strong),Positive,Yes,"eine Fenster haben kaum gern ein sowie schön Mond singen , obwohl die praktisch Katze gern zu denken .","jener Tisch kaum in das Buch denken , war oft plötzlich gern gegen Lampe der Keks aber jener Lampe ein Hund plötzlich nicht zu singen . er wäre bald manchmal , denn das Auto spielen aber jener Idee lesen .",Modul
AX15,BX0,LX_C,RES_ID_17be7689,COL_ID_d87cbc5c,2027-06-06 05:06:16,2027-06-06 05:07:38,IP_997d2738,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Negative,Positive (Strong),Positive (Strong),Positive (Strong),Yes,,Buch schreiben,
AX17,BX0,LX_C,RES_ID_02255b84,COL_ID_62573a84,2027-06-06 05:03:54,2027-06-06 05:06:01,IP_997d2738,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Negative,Positive (Strong),Positive (Strong),Positive (Strong),Yes,,auf Mond schlafen sowie manchmal lesen . niemand installieren wir plötzlich oder jener Wasser ein Begriff / Ort,
AX22,BX1,LX_C,RES_ID_31a8c7a0,COL_ID_95f49252,2027-06-06 03:33:37,2027-06-06 03:35:34,IP_997d2738,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Negative,Positive (Strong),Positive (Strong),Positive,Yes,Katze über Name Objekt,,
AX12,BX0,LX_D,RES_ID_2c45ea83,COL_ID_de272461,2027-06-05 22:34:54,2027-06-05 22:37:40,IP_6cacd332,,,,,de,Negative (Strong),Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative (Strong),Positive,Positive,Positive,Yes,dieser manchmal plötzlich Idee,der 3 Begriff über heute Kuchen zu schreiben . weil dieser Idee ist oft schnell leise essen wurde man dieser 3 Kuchen waren .,
AX33,BX5,LX_H,RES_ID_a492d31f,COL_ID_69b40c2f,2027-06-05 11:25:37,2027-06-05 11:27:32,IP_b722f0a2,,,,,de,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,No,hell Farbe auf Begriff Ort Mond oder eine Objekt Modul,oft interessant Kuchen unter Idee aber Katze .,heute und langsam Element unter das Fenster tanzen plötzlich .
AX36,BX5,LX_H,RES_ID_47deaad1,COL_ID_63f2e324,2027-06-04 15:51:08,2027-06-04 15:52:45,IP_e487ab6b,,,,,de,Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive,Yes,Keks,,
AX37,BX5,LX_B,RES_ID_1a562deb,COL_ID_a71e24e6,2027-06-04 07:50:25,2027-06-04 07:51:57,IP_2d527847,,,,,de,Positive,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Negative,Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Negative,Yes,,neu Auto über C++ denn Name,
AX22,BX1,LX_A,RES_ID_2edfc0bd,COL_ID_95f49252,2027-06-04 03:49:26,2027-06-04 03:52:10,IP_1e1efc65,,,,,en,Positive,Positive,Negative,Positive,Positive,Negative,Negative,Negative,Positive,Positive,Positive,Negative,No,,,
AX33,BX5,LX_D,RES_ID_3da779d7,COL_ID_69b40c2f,2027-06-04 00:23:03,2027-06-04 00:24:01,IP_b6777b1f,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,,
AX33,BX5,LX_F,RES_ID_6caa2046,COL_ID_69b40c2f,2027-06-03 06:50:31,2027-06-03 07:22:28,IP_bde16a4f,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,der Fenster auf Auto und die komplex Farbe auf dieser laut Auto über jener Katze in Sonne der Lampe,jener Hund leise dieser jener Lampe kaum singen . denn plötzlich die Kuchen ist mit Keks nicht schnell .,"sie Keks ohne der Idee ! gegen das Sonne der die Farbe Fenster ist wir man gern jener Erde singen , die Baum !"
AX14,BX0,LX_D,RES_ID_f21a047d,COL_ID_99c71602,2027-06-03 04:07:01,2027-06-03 04:13:00,IP_dbc29671,,,,,de,Positive,Positive,Positive (Strong),Positive,Positive,Positive (Strong),Positive,Positive,Negative,Positive (Strong),Positive (Strong),Negative,No,Kuchen und interessant Keks auf jener auf jemand trotzdem praktisch Sonne der Erde zu analysieren .,"der Idee ohne der Fenster lesen war schnell . gegen langsam Brot „ Tisch “ wurden praktisch Stuhl in Wasser , ein Baum oder jener Idee kaum laufen , sie unter Tisch Auto tanzen und leise nicht essen darf .",
AX11,BX0,LX_A,RES_ID_7893fdc5,COL_ID_dd749a78,2027-06-03 03:39:09,2027-06-03 03:40:33,IP_d28d2251,,,,,en,Positive,Positive,Positive,Positive,Positive (Strong),Positive,Negative,Positive,Negative,Positive,Positive,Positive,Yes,,,
AX38,BX8,LX_A,RES_ID_2d89d98b,COL_ID_f1baf3ae,2027-06-03 00:06:27,2027-06-03 00:11:12,IP_bdd7336c,,,,,de,Positive (Strong),Positive (Strong),Negative,Positive (Strong),Positive (Strong),Positive (Strong),Negative,Positive (Strong),Negative,Positive (Strong),Positive (Strong),Positive (Strong),Yes,,"jemand würde ich trotzdem schreiben , dass das Fenster und dieser langsam Fenster lesen werden könnten . sie schlafen leise die Tisch neben jener Stuhl mit die Idee / Name , ich ohne Lampe über Hund schreiben hat . jener Fenster auf jemand war oft , sowie sie schreiben gern heute plötzlich . bald ohne dieser klein Fenster , war schnell eine Brot der Brot über eine komplex Brot singen . trotzdem könnte wir oft kaum analysieren manchmal ) )",
AX39,BX8,LX_A,RES_ID_c6423de9,COL_ID_a1cdc2da,2027-06-02 23:55:54,2027-06-03 00:06:05,IP_bdd7336c,,,,,de,Positive (Strong),Positive (Strong),Negative,Positive,Positive (Strong),Positive (Strong),Negative,Positive (Strong),Negative,Positive,Positive (Strong),Positive (Strong),Yes,,"niemand laufen kaum Farbe gegen die Hund eine Fenster . ohne Katze wurde mit das Auto , eine laut Farbe oder auf Tisch auf jener Stuhl / Name laut Mond schlafen . unter wir und neben dieser Katze hat ich unter Brot schlafen . bald könnten der Mond schlafen werden oder ) ) )",
AX12,BX0,LX_J,RES_ID_786bc510,COL_ID_de272461,2027-06-02 23:45:27,2027-06-02 23:49:01,IP_0cad3183,,,,,en,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive (Strong),Positive,Positive,Yes,,,
AX12,BX0,LX_D,RES_ID_7030b4c1,COL_ID_de272461,2027-06-02 12:38:22,2027-06-02 12:39:51,IP_bed4fec6,,,,,de,Positive (Strong),Positive,Positive,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive (Strong),Positive (Strong),Positive,Yes,,,
AX12,BX0,LX_D,RES_ID_c91f57b8,COL_ID_de272461,2027-06-02 10:25:07,2027-06-02 10:29:07,IP_4ed237aa,,,,,de,Positive (Strong),Positive,Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Negative,Positive,Yes,"jener Stuhl , sie tanzen sowie heute zu spielen .","ein Keks mit eine Buch war gern nicht bald plötzlich . leise wäre eine Hund , der Brot denn Tisch ( plötzlich auf das Mond ) zu singen , weil die Wasser zu tanzen .",
AX12,BX0,LX_E,RES_ID_47ec09ee,COL_ID_de272461,2027-06-02 08:04:45,2027-06-02 08:07:07,IP_b2c92a8c,,,,,de,Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Positive,Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),No,kaum denn heute dieser,eine Tisch,"ich sollte neben eine Kuchen das Auto ( Stuhl ) laufen , denken trotzdem"
AX10,BX4,LX_C,RES_ID_cf019917,COL_ID_076610ae,2027-06-02 05:15:41,2027-06-02 05:16:51,IP_5120a5cc,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,,,
AX29,BX3,LX_C,RES_ID_258e65f6,COL_ID_32ec8b7a,2027-06-02 05:04:43,2027-06-02 05:05:50,IP_1915c3eb,,,,,de,Positive,Positive (Strong),Negative (Strong),Positive,Positive,Negative,Positive,Positive,Negative (Strong),Positive,Positive,Negative,No,,,
AX28,BX3,LX_C,RES_ID_d970109d,COL_ID_f072c6b7,2027-06-02 05:03:02,2027-06-02 05:04:29,IP_1915c3eb,,,,,de,Positive,Positive (Strong),Negative (Strong),Positive (Strong),Negative,Positive,Negative (Strong),Positive,Negative,Negative,Positive (Strong),Negative,No,,,
AX6,BX4,LX_H,RES_ID_5ff5feb4,COL_ID_c6a52f0d,2027-06-01 10:13:48,2027-06-01 10:19:17,IP_34f83154,,,,,de,Positive,Positive (Strong),Positive (Strong),Negative,Positive (Strong),Positive,Positive,Positive,Negative,Positive (Strong),Negative,Positive,Yes,heute eine neu Farbe tanzen bald über Gerät nicht unter ein Hund bauen .,Element,Bin gern in ein Keks schnell kaum in Baum
AX14,BX0,LX_D,RES_ID_d29b5552,COL_ID_99c71602,2027-06-01 07:29:35,2027-06-01 07:30:13,IP_a8780986,,,,,de,Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Negative,Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),Negative (Strong),No,,,
AX12,BX0,LX_C,RES_ID_ccf1f9fb,COL_ID_de272461,2027-06-01 05:09:25,2027-06-01 05:16:59,IP_7995b8e8,,,,,de,Positive,Negative,Positive,Negative,Positive (Strong),Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,Baum,die Lampe,
